stage,Ridge_MAE_change_vs_persistence_pct,Ridge_RMSE_change_vs_persistence_pct,Ridge_WAPE_change_vs_persistence_pct,Ridge_R2_difference
Development Validation,10.596003488544454,-4.830963200752525,10.596003488544444,0.044153732698625214
Final Holdout,88.63366392524814,58.03161191133911,88.63366392524813,-0.09302622666091553
