model,observations,MAE,RMSE,R2,negative_predictions,minimum_prediction
Ridge Regression,30,6015.921958534361,8288.376028254022,0.575855222626801,1,-348.8933435474537
Naive Persistence,30,5439.547333333334,8709.10992378517,0.5317014899281758,0,0.0
Gradient Boosting,30,5405.544990064561,8999.746265457108,0.4999242874508173,0,3267.714245814912
Random Forest - Depth 6,30,5330.333998039683,9304.163392424189,0.46552193204044046,0,3779.106552549284
