NPD_WELL_BORE_NAME,DATE,oil_volume,target_next_month_oil_volume,ridge_prediction,persistence_prediction,target_month,ridge_absolute_error,persistence_absolute_error,ridge_minus_persistence_absolute_error,ridge_negative_prediction
15/9-F-1 C,2015-04-01,3924.18,3832.69,3195.9228900465896,3924.18,2015-05-01,636.7671099534105,91.48999999999978,545.2771099534107,False
15/9-F-1 C,2015-05-01,3832.69,6344.5,7041.379234782573,3832.69,2015-06-01,696.8792347825729,2511.81,-1814.930765217427,False
15/9-F-1 C,2015-06-01,6344.5,2093.95,2305.050678791602,6344.5,2015-07-01,211.10067879160215,4250.55,-4039.449321208398,False
15/9-F-1 C,2015-07-01,2093.95,2871.02,-941.0156864817764,2093.95,2015-08-01,3812.0356864817763,777.0700000000002,3034.965686481776,True
15/9-F-1 C,2015-08-01,2871.02,6460.27,5820.796655806851,2871.02,2015-09-01,639.4733441931494,3589.2500000000005,-2949.776655806851,False
15/9-F-1 C,2015-09-01,6460.27,4085.8,3837.098668958512,6460.27,2015-10-01,248.70133104148817,2374.4700000000003,-2125.768668958512,False
15/9-F-1 C,2015-10-01,4085.8,3332.05,287.12905214229977,4085.8,2015-11-01,3044.9209478577004,753.75,2291.1709478577004,False
15/9-F-1 C,2015-11-01,3332.05,2949.42,412.8930503931188,3332.05,2015-12-01,2536.5269496068813,382.6300000000001,2153.896949606881,False
15/9-F-1 C,2015-12-01,2949.42,2981.44,3795.417100048639,2949.42,2016-01-01,813.9771000486389,32.01999999999998,781.957100048639,False
15/9-F-1 C,2016-01-01,2981.44,4718.03,-1960.06534844992,2981.44,2016-02-01,6678.09534844992,1736.5899999999997,4941.50534844992,True
15/9-F-1 C,2016-02-01,4718.03,2917.5,-533.2756106926172,4718.03,2016-03-01,3450.775610692617,1800.5299999999997,1650.2456106926174,True
15/9-F-1 C,2016-03-01,2917.5,1671.69,-1474.7256162790654,2917.5,2016-04-01,3146.4156162790655,1245.81,1900.6056162790655,True
15/9-F-11,2015-04-01,54555.76,55029.22,46001.82430625928,54555.76,2015-05-01,9027.39569374072,473.4599999999991,8553.935693740721,False
15/9-F-11,2015-05-01,55029.22,48231.1,46160.75551759864,55029.22,2015-06-01,2070.344482401357,6798.120000000003,-4727.775517598646,False
15/9-F-11,2015-06-01,48231.1,43784.66,42752.167906033006,48231.1,2015-07-01,1032.4920939669973,4446.439999999995,-3413.9479060329977,False
15/9-F-11,2015-07-01,43784.66,31498.15,36856.91054744498,43784.66,2015-08-01,5358.760547444981,12286.510000000002,-6927.749452555021,False
15/9-F-11,2015-08-01,31498.15,31424.59,29639.539455762068,31498.15,2015-09-01,1785.0505442379326,73.56000000000131,1711.4905442379313,False
15/9-F-11,2015-09-01,31424.59,29724.78,26280.830338666023,31424.59,2015-10-01,3443.949661333976,1699.8100000000013,1744.1396613339748,False
15/9-F-11,2015-10-01,29724.78,36410.23,26322.47339105775,29724.78,2015-11-01,10087.756608942254,6685.450000000004,3402.30660894225,False
15/9-F-11,2015-11-01,36410.23,35933.9,29265.866614766142,36410.23,2015-12-01,6668.033385233859,476.33000000000175,6191.703385233857,False
15/9-F-11,2015-12-01,35933.9,31603.26,26352.382098211885,35933.9,2016-01-01,5250.877901788113,4330.640000000003,920.2379017881103,False
15/9-F-11,2016-01-01,31603.26,25954.57,22876.26040421659,31603.26,2016-02-01,3078.3095957834084,5648.689999999999,-2570.3804042165903,False
15/9-F-11,2016-02-01,25954.57,25023.66,19147.78436217478,25954.57,2016-03-01,5875.875637825218,930.9099999999999,4944.965637825218,False
15/9-F-11,2016-03-01,25023.66,13429.0,16825.25261634146,25023.66,2016-04-01,3396.2526163414586,11594.66,-8198.407383658541,False
15/9-F-11,2016-04-01,13429.0,15528.75,9452.79112790705,13429.0,2016-05-01,6075.95887209295,2099.75,3976.2088720929496,False
15/9-F-11,2016-05-01,15528.75,14590.61,7951.934915494217,15528.75,2016-06-01,6638.675084505783,938.1399999999994,5700.535084505784,False
15/9-F-11,2016-06-01,14590.61,14384.88,6978.670715981156,14590.61,2016-07-01,7406.209284018843,205.73000000000138,7200.479284018842,False
15/9-F-11,2016-07-01,14384.88,14583.73,6107.761974667483,14384.88,2016-08-01,8475.968025332517,198.85000000000036,8277.118025332516,False
15/9-F-11,2016-08-01,14583.73,8609.18,5952.157658823358,14583.73,2016-09-01,2657.022341176642,5974.549999999999,-3317.5276588233573,False
15/9-F-12,2015-04-01,19796.56,16996.48,21935.831792225992,19796.56,2015-05-01,4939.3517922259925,2800.0800000000017,2139.271792225991,False
15/9-F-12,2015-05-01,16996.48,19536.3,17817.08273009404,16996.48,2015-06-01,1719.2172699059593,2539.8199999999997,-820.6027300940405,False
15/9-F-12,2015-06-01,19536.3,19157.45,19855.53573919577,19536.3,2015-07-01,698.0857391957688,378.84999999999854,319.2357391957703,False
15/9-F-12,2015-07-01,19157.45,13473.27,18403.689569635124,19157.45,2015-08-01,4930.4195696351235,5684.18,-753.7604303648768,False
15/9-F-12,2015-08-01,13473.27,12494.51,15174.41712893117,13473.27,2015-09-01,2679.9071289311705,978.7600000000002,1701.1471289311703,False
15/9-F-12,2015-09-01,12494.51,11888.63,12665.730740386023,12494.51,2015-10-01,777.100740386024,605.880000000001,171.22074038602295,False
15/9-F-12,2015-10-01,11888.63,11369.48,11307.412478997869,11888.63,2015-11-01,62.06752100213089,519.1499999999996,-457.08247899786875,False
15/9-F-12,2015-11-01,11369.48,10855.97,10884.802009928757,11369.48,2015-12-01,28.832009928757543,513.5100000000002,-484.6779900712427,False
15/9-F-12,2015-12-01,10855.97,9494.98,10156.74840323882,10855.97,2016-01-01,661.7684032388206,1360.9899999999998,-699.2215967611792,False
15/9-F-12,2016-01-01,9494.98,7644.12,8667.434288031302,9494.98,2016-02-01,1023.3142880313017,1850.8599999999997,-827.545711968698,False
15/9-F-12,2016-02-01,7644.12,7359.93,7428.491405323726,7644.12,2016-03-01,68.56140532372592,284.1899999999996,-215.62859467627368,False
15/9-F-12,2016-03-01,7359.93,6152.17,6365.241791327622,7359.93,2016-04-01,213.07179132762212,1207.7600000000002,-994.6882086723781,False
15/9-F-12,2016-04-01,6152.17,5865.13,5513.718096451681,6152.17,2016-05-01,351.41190354831906,287.03999999999996,64.3719035483191,False
15/9-F-12,2016-05-01,5865.13,5408.31,4711.234683155628,5865.13,2016-06-01,697.0753168443725,456.8199999999997,240.25531684437283,False
15/9-F-12,2016-06-01,5408.31,4533.82,4685.665322489229,5408.31,2016-07-01,151.84532248922915,874.4900000000007,-722.6446775107715,False
15/9-F-12,2016-07-01,4533.82,1442.03,3895.340977334927,4533.82,2016-08-01,2453.310977334927,3091.79,-638.479022665073,False
15/9-F-12,2016-08-01,1442.03,0.0,4713.945543172646,1442.03,2016-09-01,4713.945543172646,1442.03,3271.915543172646,False
15/9-F-14,2015-04-01,7687.2,7147.79,3958.47088387455,7687.2,2015-05-01,3189.31911612545,539.4099999999999,2649.90911612545,False
15/9-F-14,2015-05-01,7147.79,6069.93,3203.7965918736954,7147.79,2015-06-01,2866.133408126305,1077.8599999999997,1788.2734081263052,False
15/9-F-14,2015-06-01,6069.93,6720.74,2533.8617584380554,6069.93,2015-07-01,4186.878241561944,650.8099999999995,3536.068241561945,False
15/9-F-14,2015-07-01,6720.74,4876.31,2997.138711843225,6720.74,2015-08-01,1879.1712881567755,1844.4299999999994,34.741288156776136,False
15/9-F-14,2015-08-01,4876.31,5300.41,2541.166913956942,4876.31,2015-09-01,2759.2430860430577,424.09999999999945,2335.1430860430582,False
15/9-F-14,2015-09-01,5300.41,5634.86,2047.6957724925303,5300.41,2015-10-01,3587.164227507469,334.4499999999998,3252.7142275074693,False
15/9-F-14,2015-10-01,5634.86,5431.56,2008.655119615345,5634.86,2015-11-01,3422.9048803846554,203.29999999999927,3219.604880384656,False
15/9-F-14,2015-11-01,5431.56,5158.09,2028.8751221967689,5431.56,2015-12-01,3129.2148778032315,273.47000000000025,2855.7448778032312,False
15/9-F-14,2015-12-01,5158.09,4606.3,1601.034424870515,5158.09,2016-01-01,3005.265575129485,551.79,2453.475575129485,False
15/9-F-14,2016-01-01,4606.3,3941.77,1240.2021371788214,4606.3,2016-02-01,2701.5678628211786,664.5300000000002,2037.0378628211784,False
15/9-F-14,2016-02-01,3941.77,3753.8,1082.630216581354,3941.77,2016-03-01,2671.169783418646,187.9699999999998,2483.1997834186463,False
15/9-F-14,2016-03-01,3753.8,3112.41,569.1921532080742,3753.8,2016-04-01,2543.2178467919257,641.3900000000003,1901.8278467919254,False
15/9-F-14,2016-04-01,3112.41,3212.96,297.35770378449524,3112.41,2016-05-01,2915.602296215505,100.55000000000018,2815.0522962155046,False
15/9-F-14,2016-05-01,3212.96,3075.03,-91.89429831747113,3212.96,2016-06-01,3166.9242983174713,137.92999999999984,3028.9942983174715,True
15/9-F-14,2016-06-01,3075.03,1326.86,36.11182623344212,3075.03,2016-07-01,1290.7481737665578,1748.1700000000003,-457.4218262334425,False
15/9-F-14,2016-07-01,1326.86,0.0,2045.5118456730704,1326.86,2016-08-01,2045.5118456730704,1326.86,718.6518456730705,False
15/9-F-14,2016-08-01,0.0,0.0,21111.810402751737,0.0,2016-09-01,21111.810402751737,0.0,21111.810402751737,False
15/9-F-15 D,2015-04-01,4259.92,4057.96,5366.284130029635,4259.92,2015-05-01,1308.324130029635,201.96000000000004,1106.364130029635,False
15/9-F-15 D,2015-05-01,4057.96,3665.8,5001.294100414139,4057.96,2015-06-01,1335.4941004141392,392.15999999999985,943.3341004141394,False
15/9-F-15 D,2015-06-01,3665.8,2238.45,4794.489752735761,3665.8,2015-07-01,2556.039752735761,1427.3500000000004,1128.6897527357605,False
15/9-F-15 D,2015-07-01,2238.45,3577.67,6186.281757122233,2238.45,2015-08-01,2608.611757122233,1339.2200000000003,1269.3917571222328,False
15/9-F-15 D,2015-08-01,3577.67,7417.35,5474.217356029978,3577.67,2015-09-01,1943.1326439700224,3839.6800000000003,-1896.547356029978,False
15/9-F-15 D,2015-09-01,7417.35,6346.83,3004.236497168305,7417.35,2015-10-01,3342.593502831695,1070.5200000000004,2272.0735028316944,False
15/9-F-15 D,2015-10-01,6346.83,3926.01,1773.9181734312078,6346.83,2015-11-01,2152.0918265687924,2420.8199999999997,-268.7281734312073,False
15/9-F-15 D,2015-11-01,3926.01,4919.04,2424.0754161197183,3926.01,2015-12-01,2494.9645838802817,993.0299999999997,1501.934583880282,False
15/9-F-15 D,2015-12-01,4919.04,2890.93,546.557647407979,4919.04,2016-01-01,2344.372352592021,2028.1100000000001,316.26235259202076,False
15/9-F-15 D,2016-01-01,2890.93,5109.33,-200.21734049731455,2890.93,2016-02-01,5309.5473404973145,2218.4,3091.1473404973144,True
15/9-F-15 D,2016-02-01,5109.33,3747.55,-1300.4717160747532,5109.33,2016-03-01,5048.021716074753,1361.7799999999997,3686.2417160747536,True
15/9-F-15 D,2016-03-01,3747.55,4544.16,-1705.4979156237314,3747.55,2016-04-01,6249.657915623731,796.6099999999997,5453.047915623732,True
15/9-F-15 D,2016-04-01,4544.16,4699.01,-706.9406486560692,4544.16,2016-05-01,5405.9506486560695,154.85000000000036,5251.100648656069,True
15/9-F-15 D,2016-05-01,4699.01,3463.91,-1977.814452132632,4699.01,2016-06-01,5441.724452132632,1235.1000000000004,4206.624452132632,True
15/9-F-15 D,2016-06-01,3463.91,828.57,-3022.0540912219367,3463.91,2016-07-01,3850.624091221937,2635.3399999999997,1215.2840912219372,True
15/9-F-15 D,2016-07-01,828.57,0.0,-546.7560326458042,828.57,2016-08-01,546.7560326458042,828.57,-281.8139673541958,True
15/9-F-15 D,2016-08-01,0.0,0.0,10798.546118080523,0.0,2016-09-01,10798.546118080523,0.0,10798.546118080523,False
