NPD_WELL_BORE_NAME,first_recorded_injection_month,last_recorded_injection_month,recorded_injection_months,active_injection_months,last_active_injection_month,total_water_injected,maximum_monthly_injection
15/9-F-4,2007-09-01,2016-12-01,112,102,2016-09-01,16240727.041627694,269279.17616104166
15/9-F-5,2007-09-01,2016-09-01,105,93,2016-04-01,14089406.489469841,270199.39982958336
