NPD_WELL_BORE_NAME,YEAR_MONTH,water_injected,on_stream_hours,DATE
15/9-F-4,2007-09,,,2007-09-01
15/9-F-4,2007-10,,,2007-10-01
15/9-F-4,2007-11,,,2007-11-01
15/9-F-4,2007-12,,,2007-12-01
15/9-F-4,2008-01,,0.0,2008-01-01
15/9-F-4,2008-02,,0.0,2008-02-01
15/9-F-4,2008-03,,0.0,2008-03-01
15/9-F-4,2008-04,29752.686893425645,118.65,2008-04-01
15/9-F-4,2008-05,221337.10647416668,714.005,2008-05-01
15/9-F-4,2008-06,211803.65386397135,598.81667,2008-06-01
15/9-F-4,2008-07,232029.66274033333,620.8083300000001,2008-07-01
15/9-F-4,2008-08,213913.2638939707,663.0750200000001,2008-08-01
15/9-F-4,2008-09,98583.3012661537,558.14562,2008-09-01
15/9-F-4,2008-10,233503.405901225,701.91667,2008-10-01
15/9-F-4,2008-11,222126.09922840583,711.6666700000001,2008-11-01
15/9-F-4,2008-12,263191.8366777083,742.66666,2008-12-01
15/9-F-4,2009-01,246659.90359416668,699.33332,2009-01-01
15/9-F-4,2009-02,221133.68071604165,639.6666700000001,2009-02-01
15/9-F-4,2009-03,61187.968703333325,191.08332000000001,2009-03-01
15/9-F-4,2009-04,106559.34592500002,543.8,2009-04-01
15/9-F-4,2009-05,231503.0955797917,710.5,2009-05-01
15/9-F-4,2009-06,129987.98364666667,690.6499899999999,2009-06-01
15/9-F-4,2009-07,191228.27029624998,734.8333299999999,2009-07-01
15/9-F-4,2009-08,191924.357519375,704.8250000000002,2009-08-01
15/9-F-4,2009-09,163785.32184013125,509.66667,2009-09-01
15/9-F-4,2009-10,182104.727543237,683.72853,2009-10-01
15/9-F-4,2009-11,203874.34742511902,706.24999,2009-11-01
15/9-F-4,2009-12,219529.2367096713,739.5,2009-12-01
15/9-F-4,2010-01,222678.95831334722,735.1666700000001,2010-01-01
15/9-F-4,2010-02,185785.74133456073,596.1666700000001,2010-02-01
15/9-F-4,2010-03,168939.05111095053,622.40834,2010-03-01
15/9-F-4,2010-04,222633.11720426992,669.83335,2010-04-01
15/9-F-4,2010-05,252526.34641145833,744.0,2010-05-01
15/9-F-4,2010-06,210363.8406129344,715.6666700000001,2010-06-01
15/9-F-4,2010-07,198041.39615416664,743.5,2010-07-01
15/9-F-4,2010-08,108631.75795894576,420.26666,2010-08-01
15/9-F-4,2010-09,145251.24517686537,631.15833,2010-09-01
15/9-F-4,2010-10,194727.43141278377,700.57499,2010-10-01
15/9-F-4,2010-11,167466.12895319442,644.84167,2010-11-01
15/9-F-4,2010-12,188426.12491277483,716.83334,2010-12-01
15/9-F-4,2011-01,189083.6503304167,731.0833299999999,2011-01-01
15/9-F-4,2011-02,135389.67994562685,536.74998,2011-02-01
15/9-F-4,2011-03,184841.17272310285,716.2500100000001,2011-03-01
15/9-F-4,2011-04,180529.41843450762,696.5,2011-04-01
15/9-F-4,2011-05,188176.55544130952,737.25001,2011-05-01
15/9-F-4,2011-06,120235.26120116228,436.09167,2011-06-01
15/9-F-4,2011-07,65179.63285541667,248.09168,2011-07-01
15/9-F-4,2011-08,173404.70385102305,642.8249999999999,2011-08-01
15/9-F-4,2011-09,174968.31468,689.16666,2011-09-01
15/9-F-4,2011-10,77827.95683270834,329.05,2011-10-01
15/9-F-4,2011-11,121602.28925604167,475.16665,2011-11-01
15/9-F-4,2011-12,109912.56099395834,438.68335,2011-12-01
15/9-F-4,2012-01,91244.76426375,426.24999999999994,2012-01-01
15/9-F-4,2012-02,147124.84801437502,691.0833299999999,2012-02-01
15/9-F-4,2012-03,149154.71056209237,735.0833399999999,2012-03-01
15/9-F-4,2012-04,147365.65297375,720.0,2012-04-01
15/9-F-4,2012-05,149129.81431458335,733.08334,2012-05-01
15/9-F-4,2012-06,144762.43055020832,710.1666700000001,2012-06-01
15/9-F-4,2012-07,150430.98627999998,744.0,2012-07-01
15/9-F-4,2012-08,58172.37461895833,292.125,2012-08-01
15/9-F-4,2012-09,6025.007743333334,31.65833,2012-09-01
15/9-F-4,2012-10,110449.68220083334,507.99165000000005,2012-10-01
15/9-F-4,2012-11,162488.44678416668,720.0,2012-11-01
15/9-F-4,2012-12,144569.26191479166,698.50001,2012-12-01
15/9-F-4,2013-01,155627.704288125,734.25001,2013-01-01
15/9-F-4,2013-02,138901.75543000002,672.0,2013-02-01
15/9-F-4,2013-03,96659.95246624999,483.35168000000004,2013-03-01
15/9-F-4,2013-04,116028.21117708334,563.5033299999999,2013-04-01
15/9-F-4,2013-05,156535.02406208334,681.80001,2013-05-01
15/9-F-4,2013-06,132162.42720416668,573.33333,2013-06-01
15/9-F-4,2013-07,133542.63593229168,652.7083299999999,2013-07-01
15/9-F-4,2013-08,156070.85594812498,689.71666,2013-08-01
15/9-F-4,2013-09,130322.73272812499,608.44167,2013-09-01
15/9-F-4,2013-10,144742.56787083333,650.41667,2013-10-01
15/9-F-4,2013-11,155972.70506125002,682.3333299999999,2013-11-01
15/9-F-4,2013-12,148594.15725416667,676.24999,2013-12-01
15/9-F-4,2014-01,147807.99611625,682.08334,2014-01-01
15/9-F-4,2014-02,131023.21383999997,579.105,2014-02-01
15/9-F-4,2014-03,154097.21124868657,685.99999,2014-03-01
15/9-F-4,2014-04,185314.47003520833,707.5416700000001,2014-04-01
15/9-F-4,2014-05,156189.17630393174,606.33334,2014-05-01
15/9-F-4,2014-06,202240.5579125,697.99643,2014-06-01
15/9-F-4,2014-07,226583.87923500003,742.1666700000001,2014-07-01
15/9-F-4,2014-08,184109.82605354165,607.3000099999999,2014-08-01
15/9-F-4,2014-09,199867.76395625004,693.3333299999999,2014-09-01
15/9-F-4,2014-10,219621.85870388334,742.33334,2014-10-01
15/9-F-4,2014-11,166856.73774291662,619.8833300000001,2014-11-01
15/9-F-4,2014-12,66671.23168125,292.05833,2014-12-01
15/9-F-4,2015-01,81160.89921020834,675.8833400000001,2015-01-01
15/9-F-4,2015-02,126376.88448729168,588.88334,2015-02-01
15/9-F-4,2015-03,137054.80379046194,744.0,2015-03-01
15/9-F-4,2015-04,143683.08407666665,707.6666700000001,2015-04-01
15/9-F-4,2015-05,128648.16758000001,744.0,2015-05-01
15/9-F-4,2015-06,161283.08737583333,717.45,2015-06-01
15/9-F-4,2015-07,156312.54031166667,739.675,2015-07-01
15/9-F-4,2015-08,114753.050129375,614.6673599999999,2015-08-01
15/9-F-4,2015-09,133755.40317208332,715.9837600000001,2015-09-01
15/9-F-4,2015-10,135860.21653292503,728.59946,2015-10-01
15/9-F-4,2015-11,160504.98263479173,698.5,2015-11-01
15/9-F-4,2015-12,152921.63690145835,739.24999,2015-12-01
15/9-F-4,2016-01,152129.93557458333,721.3333299999999,2016-01-01
15/9-F-4,2016-02,148078.12622041669,693.4166700000001,2016-02-01
15/9-F-4,2016-03,141201.78562062499,743.0,2016-03-01
15/9-F-4,2016-04,220078.3151354167,701.8333299999999,2016-04-01
15/9-F-4,2016-05,269279.17616104166,744.0,2016-05-01
15/9-F-4,2016-06,257281.26086979167,708.5833299999999,2016-06-01
15/9-F-4,2016-07,197975.70744,608.64998,2016-07-01
15/9-F-4,2016-08,132382.87739520834,656.5833299999999,2016-08-01
15/9-F-4,2016-09,61200.875995416674,340.10833,2016-09-01
15/9-F-4,2016-10,,,2016-10-01
15/9-F-4,2016-11,,,2016-11-01
15/9-F-4,2016-12,,,2016-12-01
15/9-F-5,2007-09,,,2007-09-01
15/9-F-5,2007-10,,,2007-10-01
15/9-F-5,2007-11,,,2007-11-01
15/9-F-5,2007-12,,,2007-12-01
15/9-F-5,2008-01,,0.0,2008-01-01
15/9-F-5,2008-02,,0.0,2008-02-01
15/9-F-5,2008-03,0.0,0.0,2008-03-01
15/9-F-5,2008-04,,0.0,2008-04-01
15/9-F-5,2008-05,,0.0,2008-05-01
15/9-F-5,2008-06,,0.0,2008-06-01
15/9-F-5,2008-07,,0.0,2008-07-01
15/9-F-5,2008-08,14480.932077115383,98.08167,2008-08-01
15/9-F-5,2008-09,64814.28652447526,557.88057,2008-09-01
15/9-F-5,2008-10,122254.37173542322,563.99999,2008-10-01
15/9-F-5,2008-11,219779.98439821557,716.1666700000001,2008-11-01
15/9-F-5,2008-12,270199.39982958336,742.25,2008-12-01
15/9-F-5,2009-01,253655.42580070833,697.4999799999999,2009-01-01
15/9-F-5,2009-02,226102.01316,635.74999,2009-02-01
15/9-F-5,2009-03,81674.34999999999,224.58334000000002,2009-03-01
15/9-F-5,2009-04,104818.54778,531.55,2009-04-01
15/9-F-5,2009-05,232334.51444823862,706.99999,2009-05-01
15/9-F-5,2009-06,133204.20527125002,690.73332,2009-06-01
15/9-F-5,2009-07,205447.018688125,734.8333299999999,2009-07-01
15/9-F-5,2009-08,198473.65997875,703.8249900000001,2009-08-01
15/9-F-5,2009-09,171773.20486270834,509.16667,2009-09-01
15/9-F-5,2009-10,200847.23049409344,682.2516800000001,2009-10-01
15/9-F-5,2009-11,208933.8678811309,705.5833299999999,2009-11-01
15/9-F-5,2009-12,225455.33740633022,738.16666,2009-12-01
15/9-F-5,2010-01,251554.76787308877,735.66667,2010-01-01
15/9-F-5,2010-02,199239.17951309754,595.41668,2010-02-01
