NPD_WELL_BORE_NAME,total_records,active_days,inactive_days,unknown_activity_days,total_water_injected,average_available_day_injection,maximum_daily_injection,average_active_day_injection
15/9-F-4,3327,2830,345,152,16240727.041627692,5431.681284825315,9316.0,5736.558696774803
15/9-F-5,3146,2547,466,133,14089406.48946984,5216.366712132484,10013.6,5531.453241943154
